"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "CSV", "JSON", "JSON with Comments", "XML", "Markdown", "JavaScript", "Prisma", "comment", "blank", "total"
"/Users/hcagatayyilmaz/Documents/los/los/src/app/components/Mock.tsx", "TypeScript JSX", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 85
"/Users/hcagatayyilmaz/Documents/los/los/src/app/components/MyRewardCard.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"/Users/hcagatayyilmaz/Documents/los/los/src/app/components/MyRewards.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/hcagatayyilmaz/Documents/los/los/src/app/components/Navbar.tsx", "TypeScript JSX", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 59
"/Users/hcagatayyilmaz/Documents/los/los/src/app/components/Pins.tsx", "TypeScript JSX", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 90
"/Users/hcagatayyilmaz/Documents/los/los/src/app/components/PopQuiz.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/hcagatayyilmaz/Documents/los/los/src/app/components/PopQuizActions.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/hcagatayyilmaz/Documents/los/los/src/app/components/QRCode.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/hcagatayyilmaz/Documents/los/los/src/app/components/RewardCard.tsx", "TypeScript JSX", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 79
"/Users/hcagatayyilmaz/Documents/los/los/src/app/components/Streak.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/hcagatayyilmaz/Documents/los/los/src/app/components/StreakParent.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/hcagatayyilmaz/Documents/los/los/src/app/components/TotalPoints.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/hcagatayyilmaz/Documents/los/los/src/app/globals.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/hcagatayyilmaz/Documents/los/los/src/app/layout.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/hcagatayyilmaz/Documents/los/los/src/app/lib/CustomIcons.tsx", "TypeScript JSX", 294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 303
"/Users/hcagatayyilmaz/Documents/los/los/src/app/lib/db.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/Users/hcagatayyilmaz/Documents/los/los/src/app/lib/func.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 7, 62
