id,points,available,startAt,endAt,description_de,description_en,name_de,name_en,numberOfUses
clz9n2ba70000nrm2fj3r847a,200,false,,,"Use your points to get free experiences in your city! If there is no reward in market, use and support us to reach more rewards!","Use your points to get free experiences in your city! If there is no reward in market, use and support us to reach more rewards!",Summer Night Cinema - Free Ticket,Summer Night Cinema - Free Ticket,5
clz9n2ba70000nrm2fj3r847b,120,false,2024-08-19 15:22:44,2024-09-08 15:22:49,Free Concert Ticket,Free Concert Ticket,Free Concert Ticket,Free Concert Ticket,4
